time,adj close,vol90_BTC,vol30_BTC,vol7_BTC,price_ETH,vol90_ETH,vol30_ETH,vol7_ETH,
2016/1/1,434,0,0,0,0 ,0,0,0,
2016/1/2,432.7,0,0,0,0 ,0,0,0,
2016/1/3,428.7,0,0,0,0 ,0,0,0,
2016/1/4,432.9,0,0,0,0 ,0,0,0,
2016/1/5,431.8,0,0,0,0 ,0,0,0,
2016/1/6,428,0,0,0,0 ,0,0,0,
2016/1/7,459,0,0,0,0 ,0,0,0,
2016/1/8,454,0,0,10.68488028,0 ,0,0,0,
2016/1/9,449.2,0,0,12.75315087,0 ,0,0,0,
2016/1/10,449.4,0,0,13.09661897,0 ,0,0,0,
2016/1/11,449.3,0,0,12.29697988,0 ,0,0,0,
2016/1/12,432,0,0,11.48251258,0 ,0,0,0,
2016/1/13,431.1,0,0,11.44200698,0 ,0,0,0,
2016/1/14,429.3,0,0,10.67027469,0 ,0,0,0,
2016/1/15,358.9,0,0,10.67689985,0 ,0,0,0,
2016/1/16,388.4,0,0,32.04615719,0 ,0,0,0,
2016/1/17,382.1,0,0,33.6847005,0 ,0,0,0,
2016/1/18,387,0,0,33.42204149,0 ,0,0,0,
2016/1/19,379,0,0,29.30249461,0 ,0,0,0,
2016/1/20,419.4,0,0,26.77308528,0 ,0,0,0,
2016/1/21,411,0,0,24.29893198,0 ,0,0,0,
2016/1/22,381,0,0,20.26910621,0 ,0,0,0,
2016/1/23,385.6,0,0,15.99769329,0 ,0,0,0,
2016/1/24,402.8,0,0,16.15320991,0 ,0,0,0,
2016/1/25,391,0,0,15.89794836,0 ,0,0,0,
2016/1/26,391.3,0,0,15.62726555,0 ,0,0,0,
2016/1/27,395,0,0,14.05036858,0 ,0,0,0,
2016/1/28,378.4,0,0,10.19213048,0 ,0,0,0,
2016/1/29,377.6,0,0,8.396626307,0 ,0,0,0,
2016/1/30,377,0,0,9.031136616,0 ,0,0,0,
2016/1/31,365.5,0,28.74396468,10.066848,0 ,0,0,0,
2016/2/1,371.4,0,29.60793696,10.53246681,0 ,0,0,0,
2016/2/2,372.9,0,30.04789835,10.42558666,0 ,0,0,0,
2016/2/3,369,0,30.39847641,9.188165266,0 ,0,0,0,
2016/2/4,389.8,0,30.64117956,4.848514746,0 ,0,0,0,
2016/2/5,386.5,0,30.24856489,7.884131139,0 ,0,0,0,
2016/2/6,373.8,0,29.95882788,9.052702832,0 ,0,0,0,
2016/2/7,372,0,28.20542481,9.075398456,0 ,0,0,0,
2016/2/8,370.5,0,26.47375213,8.161378268,0 ,0,0,0,
2016/2/9,374,0,24.74961976,8.261327001,0 ,0,0,0,
2016/2/10,380.9,0,22.47121888,8.194800907,0 ,0,0,0,
2016/2/11,378,0,19.49388823,7.588023144,0 ,0,0,0,
2016/2/12,383,0,17.6461959,5.647924187,0 ,0,0,0,
